sfd_externalid;start date;end date
aj7qpn3;01/01/2020;30/06/2020
mp2w57e;01/01/2020;30/06/2020
5np36j1;01/01/2020;30/06/2020
y3bv51g;01/01/2020;30/06/2020
bg7pjl7;01/01/2020;30/06/2020
